,Date,Province_State,Recovered,Deaths,Confirmed,Active
238,2020-03-20,Punjab,0,1.0,2,1.0
239,2020-03-20,Rajasthan,3,0.0,17,14.0
240,2020-03-20,Tamil Nadu,1,0.0,3,2.0
241,2020-03-20,Telengana,1,0.0,17,16.0
242,2020-03-20,Chandigarh,0,0.0,1,1.0
243,2020-03-20,Jammu and Kashmir,0,0.0,4,4.0
244,2020-03-20,Ladakh,0,0.0,10,10.0
245,2020-03-20,Uttar Pradesh,9,0.0,23,14.0
246,2020-03-20,Uttarakhand,0,0.0,3,3.0
247,2020-03-20,West Bengal,0,0.0,2,2.0
248,2020-03-21,Andhra Pradesh,0,0.0,3,3.0
249,2020-03-21,Chhattisgarh,0,0.0,1,1.0
250,2020-03-21,Delhi,5,1.0,26,20.0
251,2020-03-21,Gujarat,0,0.0,7,7.0
252,2020-03-21,Haryana,0,0.0,17,17.0
253,2020-03-21,Himachal Pradesh,0,0.0,2,2.0
254,2020-03-21,Karnataka,1,1.0,15,13.0
255,2020-03-21,Kerala,3,0.0,40,37.0
256,2020-03-21,Madhya Pradesh,0,0.0,4,4.0
257,2020-03-21,Maharashtra,0,1.0,63,62.0
258,2020-03-21,Odisha,0,0.0,2,2.0
259,2020-03-21,Puducherry,0,0.0,1,1.0
260,2020-03-21,Punjab,0,1.0,13,12.0
261,2020-03-21,Rajasthan,3,0.0,17,14.0
262,2020-03-21,Tamil Nadu,1,0.0,3,2.0
263,2020-03-21,Telengana,1,0.0,21,20.0
264,2020-03-21,Chandigarh,0,0.0,1,1.0
265,2020-03-21,Jammu and Kashmir,0,0.0,4,4.0
266,2020-03-21,Ladakh,0,0.0,13,13.0
267,2020-03-21,Uttar Pradesh,9,0.0,24,15.0
268,2020-03-21,Uttarakhand,0,0.0,3,3.0
269,2020-03-21,West Bengal,0,0.0,3,3.0
270,2020-03-22,Andhra Pradesh,0,0.0,5,5.0
271,2020-03-22,Bihar,0,1.0,2,1.0
272,2020-03-22,Chhattisgarh,0,0.0,1,1.0
273,2020-03-22,Delhi,5,1.0,29,23.0
274,2020-03-22,Gujarat,0,1.0,18,17.0
275,2020-03-22,Haryana,0,0.0,21,21.0
